ComponentID,Domain,Component,SubcaseID,MandatoryInComprehensiveSmoke,MandatoryInDeepAcceptance,RequiredCSV,RequiredPNG,CorrectnessRequirement,WebGUISection,FailureCode
COMP-0118,RF Front End and Power Control,EVM/ACLR/SEM,SC-20,true,true,rf_evm_measurement.csv,rf_evm_by_modulation.png|rf_aclr_spectrum.png|rf_sem_obue_spectrum.png,Measurement metadata and reference plane are explicit.,RF/Power,FULLSTACK:EVMACLRSEMFailed
COMP-0119,RF Front End and Power Control,PUSCH power control,SC-21,true,true,rf_ul_power_control.csv,rf_ul_power_control_convergence.png,Measured pathloss and decoded TPC drive power.,RF/Power,FULLSTACK:PUSCHpowercontrolFailed
COMP-0120,RF Front End and Power Control,PUCCH/SRS/PRACH power,SC-21,true,true,rf_ul_power_control.csv,,All selected UL channels reconcile requested/applied/measured power.,RF/Power,FULLSTACK:PUCCHSRSPRACHpowerFailed
COMP-0121,RF Front End and Power Control,Noise figure/covariance,SC-20,true,true,rf_noise_figure_cascade.csv,rf_noise_figure_cascade.png,Friis and sample covariance pass.,RF/Power,FULLSTACK:NoisefigurecovarianceFailed
COMP-0122,MAC HARQ Scheduling,Event-sourced UE context,SC-22,true,true,mac_event_log.csv|mac_ue_context_projection.csv,mac_event_state_timeline.png,State is derived only from ordered events.,MAC/HARQ,FULLSTACK:EventsourcedUEcontextFailed
COMP-0123,MAC HARQ Scheduling,DL HARQ entity,SC-22,true,true,mac_harq_process_states.csv,mac_harq_process_timeline.png,No heuristic timeout; exact events drive transitions.,MAC/HARQ,FULLSTACK:DLHARQentityFailed
COMP-0124,MAC HARQ Scheduling,UL HARQ entity,SC-22,true,true,mac_harq_process_states.csv,mac_harq_process_timeline.png,UL process identity and feedback are exact.,MAC/HARQ,FULLSTACK:ULHARQentityFailed
COMP-0125,MAC HARQ Scheduling,ACK NACK DTX codebook,SC-22,true,true,mac_harq_feedback.csv,mac_harq_feedback_codebook.png,"Feedback position, DAI and source TB are exact.",MAC/HARQ,FULLSTACK:ACKNACKDTXcodebookFailed
COMP-0126,MAC HARQ Scheduling,Soft combining provenance,SC-22,true,true,mac_soft_buffer_ledger.csv,mac_soft_combining_gain.png,Only matching coding positions combine.,MAC/HARQ,FULLSTACK:SoftcombiningprovenanceFailed
COMP-0127,MAC HARQ Scheduling,K0 K1 K2 service,SC-22,true,true,mac_timing_decisions.csv,mac_k0_k1_k2_timeline.png,Timing is symbol-legal.,MAC/HARQ,FULLSTACK:K0K1K2serviceFailed
COMP-0128,MAC HARQ Scheduling,BSR exact tables/state,SC-22,true,true,mac_bsr_state.csv,mac_bsr_quantization_error.png|mac_bsr_buffer_timeline.png,No logarithmic approximation.,MAC/HARQ,FULLSTACK:BSRexacttablesstateFailed
COMP-0129,MAC HARQ Scheduling,PHR PCMAX,SC-22,true,true,mac_phr_state.csv,mac_phr_power_timeline.png,Exact mappings/timers.,MAC/HARQ,FULLSTACK:PHRPCMAXFailed
COMP-0130,MAC HARQ Scheduling,Scheduling request,SC-22,true,true,mac_sr_state.csv,mac_sr_state_timeline.png,Counter/prohibit/fallback state is exact.,MAC/HARQ,FULLSTACK:SchedulingrequestFailed
COMP-0131,MAC HARQ Scheduling,Logical channel prioritization,SC-22,true,true,mac_lcp_decisions.csv,mac_lcp_bj_timeline.png,PBR/BSD/Bj and restrictions apply.,MAC/HARQ,FULLSTACK:LogicalchannelprioritizationFailed
COMP-0132,MAC HARQ Scheduling,MAC PDU/CE,SC-22,true,true,mac_pdu_roundtrip.csv|mac_ce_selection.csv,mac_pdu_composition.png|mac_ce_priority_selection.png,Encoding/parsing/priority are exact.,MAC/HARQ,FULLSTACK:MACPDUCEFailed
COMP-0133,MAC HARQ Scheduling,Timing advance,SC-22,true,true,mac_timing_advance_state.csv,mac_timing_advance_timeline.png,Applied sample shift and timer affect UL eligibility.,MAC/HARQ,FULLSTACK:TimingadvanceFailed
COMP-0134,MAC HARQ Scheduling,Scheduler policies,SC-22,true,true,mac_scheduler_grants.csv,mac_scheduler_allocation.png|mac_scheduler_fairness.png,All policies use same immutable snapshot.,MAC/HARQ,FULLSTACK:SchedulerpoliciesFailed
COMP-0135,MAC HARQ Scheduling,Atomic grant commit,SC-22,true,true,mac_scheduler_grants.csv,mac_grant_authority_trace.png,No HARQ mutation before feasibility/commit.,MAC/HARQ,FULLSTACK:AtomicgrantcommitFailed
COMP-0136,MAC HARQ Scheduling,Packet lineage and conservation,SC-24,true,true,mac_packet_lineage_nodes.csv|mac_conservation_ledger.csv,mac_packet_lineage_graph.png|mac_conservation_balance.png,No duplicate or unowned bytes.,MAC/HARQ,FULLSTACK:PacketlineageandconservationFailed
COMP-0137,RLC PDCP SDAP RRC Traffic,RLC UM 6/12 SN,SC-23,true,true,rlc_pdu_encoding.csv|rlc_um_reassembly.csv,rlc_um_reassembly_timeline.png,"Header, window and reassembly pass.",L2/L3/Traffic,FULLSTACK:RLCUM612SNFailed
COMP-0138,RLC PDCP SDAP RRC Traffic,RLC AM 12/18 SN,SC-23,true,true,rlc_pdu_encoding.csv|rlc_am_state_events.csv,rlc_am_window_timeline.png,"AMD header, window, poll and retransmission pass.",L2/L3/Traffic,FULLSTACK:RLCAM1218SNFailed
COMP-0139,RLC PDCP SDAP RRC Traffic,RLC STATUS,SC-23,true,true,rlc_status_pdus.csv,rlc_status_nack_map.png,ACK/NACK/SO/range fields are exact.,L2/L3/Traffic,FULLSTACK:RLCSTATUSFailed
COMP-0140,RLC PDCP SDAP RRC Traffic,PDCP COUNT/HFN,SC-23,true,true,pdcp_count_state.csv,pdcp_count_hfn_timeline.png,COUNT does not wrap; states are exact.,L2/L3/Traffic,FULLSTACK:PDCPCOUNTHFNFailed
COMP-0141,RLC PDCP SDAP RRC Traffic,PDCP security,SC-23,true,true,pdcp_security_results.csv,pdcp_security_flow.png,Enabled cipher/integrity vectors pass.,L2/L3/Traffic,FULLSTACK:PDCPsecurityFailed
COMP-0142,RLC PDCP SDAP RRC Traffic,PDCP reordering/duplication,SC-23,true,true,pdcp_reordering_discard.csv|pdcp_duplication_routing.csv,pdcp_reordering_window.png|pdcp_duplication_paths.png,First delivery only; duplicates discarded.,L2/L3/Traffic,FULLSTACK:PDCPreorderingduplicationFailed
COMP-0143,RLC PDCP SDAP RRC Traffic,SDAP QFI/DRB mapping,SC-23,true,true,sdap_qfi_drb_mapping.csv,sdap_qfi_drb_map.png,No default fallback for missing map.,L2/L3/Traffic,FULLSTACK:SDAPQFIDRBmappingFailed
COMP-0144,RLC PDCP SDAP RRC Traffic,RRC ASN.1 messages,SC-23,true,true,rrc_asn1_messages.csv,rrc_message_sequence.png,Enabled messages match independent vectors.,L2/L3/Traffic,FULLSTACK:RRCASN1messagesFailed
COMP-0145,RLC PDCP SDAP RRC Traffic,RRC state/transactions,SC-23,true,true,rrc_state_transitions.csv,rrc_state_machine.png|rrc_transaction_timeline.png,UE/gNB transactions and timers converge.,L2/L3/Traffic,FULLSTACK:RRCstatetransactionsFailed
COMP-0146,RLC PDCP SDAP RRC Traffic,Atomic radio bearer config,SC-23,true,true,radio_bearer_config.csv,radio_bearer_stack.png,All layers commit or roll back together.,L2/L3/Traffic,FULLSTACK:AtomicradiobearerconfigFailed
COMP-0147,RLC PDCP SDAP RRC Traffic,Handover procedure,SC-25,true,true,handover_events.csv,handover_sequence.png,Measurement report to target completion is causal.,L2/L3/Traffic,FULLSTACK:HandoverprocedureFailed
COMP-0148,RLC PDCP SDAP RRC Traffic,Traffic generators,SC-24,true,true,traffic_packet_arrivals.csv,traffic_packet_arrivals.png,Named streams and packet timing are deterministic.,L2/L3/Traffic,FULLSTACK:TrafficgeneratorsFailed
COMP-0149,RLC PDCP SDAP RRC Traffic,PDU set/deadline,SC-24,true,true,traffic_pdu_sets.csv,traffic_pdu_set_latency.png,PDU-set completion and deadline are correct.,L2/L3/Traffic,FULLSTACK:PDUsetdeadlineFailed
COMP-0150,RLC PDCP SDAP RRC Traffic,Cross-layer lineage,SC-24,true,true,protocol_lineage.csv,protocol_lineage_graph.png,Every packet maps through all layers.,L2/L3/Traffic,FULLSTACK:CrosslayerlineageFailed
COMP-0151,RLC PDCP SDAP RRC Traffic,End-to-end delivery,SC-24,true,true,protocol_receiver_metrics.csv,protocol_end_to_end_goodput.png|protocol_latency_cdf.png,"First delivery, goodput and latency are correct.",L2/L3/Traffic,FULLSTACK:EndtoenddeliveryFailed
COMP-0152,Validation WebGUI Artifacts,Schema-first validation,SC-27,true,true,validation_schema_results.csv,validation_fail_closed_mutations.png,Missing/wrong/nonfinite fields fail closed.,Validation WebGUI Artifacts,FULLSTACK:SchemafirstvalidationFailed
COMP-0153,Validation WebGUI Artifacts,Point status and stop reason,SC-27,true,true,validation_point_status.csv|validation_stop_reason_ledger.csv,validation_campaign_state_map.png|validation_stop_reason_distribution.png,Canonical enums are used.,Validation WebGUI Artifacts,FULLSTACK:PointstatusandstopreasonFailed
COMP-0154,Validation WebGUI Artifacts,Independent oracle registry,SC-27,true,true,validation_oracle_results.csv,validation_oracle_independence.png,No DUT self-reference qualifies.,Validation WebGUI Artifacts,FULLSTACK:IndependentoracleregistryFailed
COMP-0155,Validation WebGUI Artifacts,Operating-point join,SC-27,true,true,validation_operating_point_join.csv,validation_point_key_join.png,"Complete keys, no missing/extra/duplicates.",Validation WebGUI Artifacts,FULLSTACK:OperatingpointjoinFailed
COMP-0156,Validation WebGUI Artifacts,Confidence intervals,SC-27,true,true,validation_binomial_intervals.csv,validation_interval_width_vs_trials.png,Configured confidence is applied.,Validation WebGUI Artifacts,FULLSTACK:ConfidenceintervalsFailed
COMP-0157,Validation WebGUI Artifacts,Provenance DAG,SC-27,true,true,validation_provenance_checks.csv,validation_provenance_dag.png,Circular/configured evidence cannot satisfy runtime gates.,Validation WebGUI Artifacts,FULLSTACK:ProvenanceDAGFailed
COMP-0158,Validation WebGUI Artifacts,Measured SINR gate,SC-27,true,true,validation_measured_sinr.csv,validation_measured_sinr_reconciliation.png,Measured receiver state is complete.,Validation WebGUI Artifacts,FULLSTACK:MeasuredSINRgateFailed
COMP-0159,Validation WebGUI Artifacts,Deterministic merge,SC-27,true,true,validation_task_merge.csv,validation_parallel_merge_determinism.png,Serial/parallel/shuffled outputs match.,Validation WebGUI Artifacts,FULLSTACK:DeterministicmergeFailed
COMP-0160,Validation WebGUI Artifacts,Artifact completeness,SC-28,true,true,all_artifact_completeness.csv,full_stack_artifact_completeness.png,Every required artifact is present and valid.,Validation WebGUI Artifacts,FULLSTACK:ArtifactcompletenessFailed
COMP-0161,Validation WebGUI Artifacts,WebGUI launch and config binding,SC-29,true,true,full_stack_config_binding.csv|full_stack_webgui_publication.csv,full_stack_webgui_publication_map.png,Run started from WebGUI using executed YAML hash.,Validation WebGUI Artifacts,FULLSTACK:WebGUIlaunchandconfigbindingFailed
COMP-0162,Validation WebGUI Artifacts,WebGUI result publication,SC-29,true,true,full_stack_webgui_publication.csv,full_stack_webgui_publication_map.png,Every artifact is listed and preview/download works.,Validation WebGUI Artifacts,FULLSTACK:WebGUIresultpublicationFailed
COMP-0163,Validation WebGUI Artifacts,Full regression,SC-30,true,true,full_stack_regression_summary.csv,full_stack_acceptance_waterfall.png,No mandatory failure/skip/block.,Validation WebGUI Artifacts,FULLSTACK:FullregressionFailed
